iter	Passed	Remaining
389	3657	5720
390	3664	5707
391	3673	5697
392	3680	5683
393	3687	5672
394	3694	5658
395	3702	5647
396	3709	5634
397	3718	5624
398	3725	5611
399	3734	5601
400	3742	5590
401	3750	5579
402	3757	5566
403	3765	5555
404	3772	5542
405	3781	5532
406	3788	5520
407	3795	5507
408	3803	5495
409	3810	5482
410	3818	5472
411	3825	5459
412	3833	5448
413	3841	5437
414	3850	5427
415	3857	5415
416	3865	5404
417	3873	5393
418	3881	5382
419	3888	5370
420	3896	5359
421	3903	5346
422	3910	5334
423	3918	5323
424	3925	5310
425	3934	5300
426	3940	5288
427	3948	5277
428	3955	5264
429	3963	5254
430	3970	5241
431	3978	5231
432	3985	5218
433	3992	5206
434	4000	5195
435	4007	5183
436	4014	5172
437	4021	5160
438	4031	5151
439	4037	5139
440	4045	5128
441	4052	5115
442	4059	5104
443	4066	5092
444	4073	5079
445	4081	5069
446	4089	5059
447	4103	5056
448	4114	5048
449	4121	5037
450	4131	5029
451	4140	5020
452	4154	5016
453	4184	5032
454	4206	5038
455	4233	5050
456	4286	5093
457	4305	5094
458	4324	5096
459	4337	5091
460	4354	5091
461	4369	5088
462	4386	5087
463	4410	5094
464	4418	5083
465	4429	5075
466	4442	5070
467	4451	5060
468	4462	5052
469	4480	5052
470	4490	5043
471	4511	5047
472	4524	5041
473	4532	5029
474	4543	5021
475	4552	5011
476	4566	5006
477	4581	5003
478	4610	5014
479	4633	5019
480	4644	5011
481	4656	5004
482	4666	4995
483	4681	4991
484	4695	4985
485	4707	4978
486	4717	4969
487	4732	4965
488	4748	4962
489	4805	5001
490	4817	4993
491	4831	4988
492	4843	4980
493	4857	4975
494	4871	4970
495	4879	4958
496	4888	4947
497	4895	4934
498	4903	4923
499	4910	4910
500	4917	4898
501	4925	4885
502	4931	4872
503	4939	4861
504	4946	4848
505	4955	4838
506	4962	4825
507	4970	4813
508	4976	4800
509	4984	4789
510	4991	4777
511	5002	4767
512	5009	4755
513	5018	4745
514	5025	4732
515	5033	4721
516	5040	4708
517	5047	4696
518	5055	4685
519	5062	4673
520	5071	4662
521	5078	4650
522	5088	4641
523	5099	4632
524	5110	4623
525	5122	4616
526	5138	4612
527	5146	4600
528	5156	4590
529	5165	4580
530	5172	4568
531	5182	4559
532	5193	4550
533	5207	4544
534	5217	4535
535	5227	4525
536	5238	4516
537	5253	4511
538	5270	4507
539	5283	4500
540	5302	4498
541	5353	4524
542	5386	4533
543	5405	4531
544	5414	4520
545	5420	4507
546	5428	4495
547	5435	4483
548	5444	4472
549	5451	4460
550	5460	4450
551	5468	4438
552	5477	4427
553	5483	4414
554	5490	4402
555	5498	4390
556	5505	4378
557	5513	4367
558	5521	4355
559	5529	4344
560	5536	4332
561	5544	4320
562	5551	4309
563	5558	4297
564	5565	4285
565	5572	4273
566	5580	4261
567	5587	4249
568	5595	4238
569	5602	4226
570	5610	4214
571	5617	4203
572	5625	4191
573	5631	4179
574	5639	4168
575	5648	4157
576	5656	4146
577	5664	4135
578	5670	4123
579	5678	4112
580	5685	4100
581	5693	4089
582	5700	4077
583	5710	4067
584	5717	4056
585	5725	4044
586	5732	4033
587	5740	4022
588	5747	4010
589	5756	3999
590	5762	3988
591	5770	3976
592	5778	3966
593	5785	3954
594	5794	3943
595	5801	3932
596	5810	3922
597	5817	3910
598	5825	3900
599	5832	3888
600	5840	3877
601	5849	3867
602	5859	3857
603	5866	3845
604	5875	3835
605	5881	3824
606	5890	3813
607	5897	3802
608	5905	3791
609	5912	3780
610	5920	3769
611	5927	3758
612	5936	3747
613	5943	3736
614	5952	3726
615	5958	3714
616	5967	3704
617	5975	3693
618	5982	3682
619	5990	3671
620	5997	3660
621	6005	3649
622	6012	3638
623	6020	3627
624	6028	3617
625	6040	3609
626	6054	3601
627	6064	3592
628	6073	3582
629	6084	3573
630	6093	3563
631	6104	3554
632	6117	3546
633	6137	3542
634	6154	3537
635	6175	3534
636	6193	3529
637	6208	3522
638	6226	3517
639	6237	3508
640	6251	3501
641	6264	3493
642	6276	3484
643	6291	3477
644	6302	3469
645	6311	3458
646	6328	3452
647	6340	3444
648	6351	3434
649	6359	3424
650	6367	3413
651	6377	3404
652	6386	3393
653	6393	3382
654	6400	3371
655	6407	3360
656	6415	3349
657	6422	3338
658	6432	3328
659	6451	3323
660	6465	3315
661	6481	3309
662	6498	3303
663	6506	3292
664	6519	3284
665	6534	3277
666	6546	3268
667	6555	3258
668	6566	3248
669	6574	3238
670	6588	3230
671	6604	3223
672	6620	3216
673	6635	3209
674	6655	3204
675	6678	3200
676	6694	3193
677	6719	3191
678	6748	3190
679	6758	3180
680	6767	3169
681	6777	3160
682	6784	3149
683	6795	3139
684	6802	3128
685	6812	3118
686	6824	3109
687	6832	3098
688	6842	3088
689	6849	3077
690	6859	3067
691	6867	3056
692	6877	3046
693	6884	3035
694	6895	3026
695	6902	3014
696	6910	3004
697	6917	2993
698	6926	2982
699	6933	2971
700	6942	2961
701	6948	2949
702	6957	2939
703	6964	2928
704	6972	2917
705	6979	2906
706	6988	2896
707	6996	2885
708	7004	2875
709	7011	2864
710	7020	2853
711	7026	2842
712	7035	2831
713	7042	2820
714	7049	2809
715	7057	2799
716	7064	2788
717	7071	2777
718	7079	2766
719	7089	2757
720	7099	2747
721	7110	2737
722	7119	2727
723	7135	2719
724	7151	2712
725	7161	2702
726	7173	2693
727	7188	2685
728	7196	2675
729	7204	2664
730	7210	2653
731	7218	2643
732	7225	2632
733	7234	2621
734	7241	2610
735	7249	2600
736	7256	2589
737	7263	2578
738	7272	2568
739	7279	2557
740	7288	2547
741	7296	2537
742	7307	2527
743	7318	2518
744	7331	2509
745	7343	2500
746	7355	2491
747	7369	2482
748	7389	2476
749	7401	2467
750	7417	2459
751	7424	2448
752	7436	2439
753	7443	2428
754	7458	2420
755	7473	2412
756	7487	2403
757	7535	2405
758	7574	2404
759	7594	2398
760	7610	2390
761	7619	2379
762	7628	2369
763	7635	2358
764	7642	2347
765	7654	2338
766	7664	2328
767	7672	2317
768	7685	2308
769	7696	2298
770	7707	2289
771	7718	2279
772	7727	2269
773	7735	2258
774	7743	2248
775	7750	2237
776	7758	2226
777	7765	2215
778	7772	2205
779	7780	2194
780	7787	2183
781	7795	2173
782	7802	2162
783	7812	2152
784	7830	2144
785	7848	2136
786	7861	2127
787	7880	2120
788	7896	2111
789	7909	2102
790	7918	2092
791	7927	2081
792	7934	2071
793	7942	2060
794	7949	2049
795	7957	2039
796	7964	2028
797	7973	2018
798	7980	2007
799	7988	1997
800	7995	1986
801	8002	1975
802	8011	1965
803	8018	1954
804	8026	1944
805	8034	1933
806	8043	1923
807	8049	1912
808	8059	1902
809	8066	1892
810	8075	1882
811	8082	1871
812	8091	1861
813	8097	1850
814	8106	1840
815	8113	1829
816	8121	1819
817	8128	1808
818	8137	1798
819	8144	1787
820	8152	1777
821	8159	1766
822	8167	1756
823	8174	1746
824	8182	1735
825	8189	1725
826	8197	1714
827	8205	1704
828	8213	1694
829	8223	1684
830	8234	1674
831	8240	1663
832	8247	1653
833	8256	1643
834	8263	1632
835	8270	1622
836	8277	1612
837	8285	1601
838	8292	1591
839	8302	1581
840	8312	1571
841	8323	1561
842	8333	1551
843	8340	1541
844	8350	1531
845	8357	1521
846	8366	1511
847	8373	1500
848	8381	1490
849	8387	1480
850	8394	1469
851	8406	1460
852	8414	1450
853	8421	1439
854	8427	1429
855	8436	1419
856	8443	1408
857	8452	1398
858	8460	1388
859	8468	1378
860	8475	1368
861	8483	1358
862	8490	1347
863	8499	1337
864	8507	1327
865	8514	1317
866	8522	1307
867	8530	1297
868	8537	1286
869	8544	1276
870	8552	1266
871	8559	1256
872	8567	1246
873	8573	1236
874	8581	1225
875	8588	1215
876	8596	1205
877	8603	1195
878	8611	1185
879	8620	1175
880	8628	1165
881	8635	1155
882	8642	1145
883	8650	1135
884	8657	1124
885	8665	1115
886	8673	1104
887	8681	1094
888	8688	1084
889	8696	1074
890	8703	1064
891	8710	1054
892	8717	1044
893	8726	1034
894	8735	1024
895	8743	1014
896	8750	1004
897	8759	994
898	8766	984
899	8773	974
900	8780	964
901	8787	954
902	8795	944
903	8802	934
904	8809	924
905	8816	914
906	8826	905
907	8837	895
908	8851	886
909	8867	876
910	8881	867
911	8896	858
912	8914	849
913	8929	840
914	8938	830
915	8951	820
916	8963	811
917	8971	801
918	8977	791
919	8985	781
920	8992	771
921	8999	761
922	9008	751
923	9014	741
924	9025	731
925	9033	721
926	9043	712
927	9051	702
928	9060	692
929	9066	682
930	9075	672
931	9082	662
932	9090	652
933	9097	642
934	9105	633
935	9112	623
936	9120	613
937	9127	603
938	9135	593
939	9142	583
940	9149	573
941	9157	563
942	9164	553
943	9172	544
944	9178	534
945	9186	524
946	9193	514
947	9202	504
948	9208	494
949	9216	485
950	9223	475
951	9230	465
952	9239	455
953	9247	445
954	9256	436
955	9263	426
956	9271	416
957	9277	406
958	9286	397
959	9292	387
960	9300	377
961	9307	367
962	9316	357
963	9329	348
964	9344	338
965	9357	329
966	9373	319
967	9387	310
968	9394	300
969	9406	290
970	9433	281
971	9445	272
972	9458	262
973	9471	252
974	9481	243
975	9488	233
976	9494	223
977	9503	213
978	9510	203
979	9519	194
980	9526	184
981	9534	174
982	9541	165
983	9550	155
984	9557	145
985	9566	135
986	9573	126
987	9582	116
988	9589	106
989	9598	96
990	9605	87
991	9614	77
992	9621	67
993	9629	58
994	9636	48
995	9644	38
996	9650	29
997	9658	19
998	9665	9
999	9672	0
